pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_utila,tip_imobil,zona,lat,long
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020.0,decomandat,1,Etaj 2,1,1.0,2.0,3.0,0.0,,S+P+11E,beton,64.14,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87080,"Bucuresti, Sector 3, zona Mihai Bravu   220 m (3 minute)",2018.0,decomandat,1,Etaj 1,1,1.0,1.0,2.0,0.0,,D+P+5E+M,beton,62.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
105000,"Bucuresti, zona Mihai Bravu   70 m (1 minut)",2019.0,decomandat,lux,Etaj 8,0,,,2.0,0.0,,P+9E,,67.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018.0,decomandat,1,Etaj 4,0,1.0,2.0,4.0,0.0,1.0,P+9E,beton,98.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
98000,"Bucuresti, zona Mihai Bravu   610 m (8 minute)",,decomandat,lux,Etaj 1,0,,1.0,3.0,0.0,,P+3E,,80.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
99500,"Bucuresti, Sector 3, zona Mihai Bravu   150 m (2 minute)",2020.0,decomandat,1,Parter,1,1.0,1.0,2.0,0.0,,D+P+2E+M,beton,56.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
113980,"Bucuresti, Sector 3, zona Mihai Bravu   140 m (2 minute)",2019.0,decomandat,lux,Etaj 3,1,1.0,2.0,3.0,0.0,,P+6E,beton,80.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019.0,decomandat,lux,Etaj 3,0,1.0,1.0,2.0,0.0,,P+9E,beton,56.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
90300,"Bucuresti, Sector 3, zona Mihai Bravu   220 m (3 minute)",2019.0,decomandat,1,Etaj 1,1,1.0,2.0,3.0,0.0,,P+4E,beton,60.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
120500,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018.0,decomandat,1,Etaj 7,0,1.0,2.0,3.0,0.0,,P+10E,beton,83.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
126500,"Bucuresti, zona Mihai Bravu   120 m (1 minut)",2018.0,decomandat,1,Etaj 5,1,1.0,2.0,3.0,0.0,,P+9E,beton,87.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   180 m (2 minute)",2019.0,decomandat,1,Etaj 3,0,1.0,2.0,4.0,0.0,,P+9E,beton,99.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2019.0,decomandat,1,Etaj 9,0,1.0,2.0,3.0,0.0,1.0,P+9E,beton,76.0,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
134370,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020.0,decomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,S+P+11E,beton,75.75,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
128000,"Bucuresti, zona Mihai Bravu",2019.0,decomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,P+6E,altele,85.1,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
114500,"Bucuresti, zona Mihai Bravu   280 m (4 minute)",2020.0,decomandat,1,Etaj 2,0,,2.0,3.0,0.0,,S+D+P+2E,,84.55,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
