pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
93800,"Bucuresti, Sector 3, zona Mihai Bravu   50 m (1 minut)",2018,decomandat,1,Etaj 3,1,1,1,2,,,S+P+10E,beton,68,57,57,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   150 m (2 minute)",2017,decomandat,1,Etaj 5,,1,1,2,,,P+9E,beton,67,55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
99900,"Bucuresti, Sector 3, zona Mihai Bravu   510 m (6 minute)",1985,semidecomandat,1,Parter,,1,2,4,,,P+8E,beton,97,85,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020,decomandat,1,Etaj 2,1,1,2,3,,,S+P+11E,beton,69.18,64.14,64.14,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
87080,"Bucuresti, Sector 3, zona Mihai Bravu   220 m (3 minute)",2018,decomandat,1,Etaj 1,1,1,1,2,,,D+P+5E+M,beton,68,62,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
105000,"Bucuresti, zona Mihai Bravu   70 m (1 minut)",2019,decomandat,lux,Etaj 8,,,,2,,,P+9E,,,67,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018,decomandat,1,Etaj 4,,1,2,4,,1,P+9E,beton,118,98,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
98000,"Bucuresti, zona Mihai Bravu   610 m (8 minute)",,decomandat,lux,Etaj 1,,,1,3,,,P+3E,,,80,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
99500,"Bucuresti, Sector 3, zona Mihai Bravu   150 m (2 minute)",2020,decomandat,1,Parter,1,1,1,2,,,D+P+2E+M,beton,75,56,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
113980,"Bucuresti, Sector 3, zona Mihai Bravu   140 m (2 minute)",2019,decomandat,lux,Etaj 3,1 (închise),1,2,3,,,P+6E,beton,88,80,80,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
79800,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019,decomandat,lux,Etaj 3,,1,1,2,,,P+9E,beton,70,56,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
90300,"Bucuresti, Sector 3, zona Mihai Bravu   220 m (3 minute)",2019,decomandat,1,Etaj 1,1,1,2,3,,,P+4E,beton,70,60,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
120500,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018,decomandat,1,Etaj 7,,1,2,3,,,P+10E,beton,101,83,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
126500,"Bucuresti, zona Mihai Bravu   120 m (1 minut)",2018,decomandat,1,Etaj 5,1,1,2,3,,,P+9E,beton,105,87,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   180 m (2 minute)",2019,decomandat,1,Etaj 3,,1,2,4,,,P+9E,beton,118,99,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2019,decomandat,1,Etaj 9,,1,2,3,,1,P+9E,beton,90,76,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
134370,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020,decomandat,1,Etaj 3,1,1,2,3,,,S+P+11E,beton,84.01,75.75,75.75,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
128000,"Bucuresti, zona Mihai Bravu",2019,decomandat,1,Etaj 3,1,1,2,3,,,P+6E,altele,101.26,85.1,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
114500,"Bucuresti, zona Mihai Bravu   280 m (4 minute)",2020,decomandat,1,Etaj 2,,,2,3,,,S+D+P+2E,,101.46,84.55,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
110840,"Bucuresti, Sector 3, zona Mihai Bravu   270 m (3 minute)",2020,decomandat,1,Etaj 3,1,1,2,3,,,S+P+11E,beton,69.1,63.7,63.7,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
85300,"Bucuresti, Sector 3, zona Mihai Bravu   240 m (3 minute)",2020,decomandat,1,Etaj 5,1,1,1,2,,1,S+P+7E,beton,67,57,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
126500,"Bucuresti, zona Mihai Bravu   170 m (2 minute)",2019,decomandat,3,Etaj 3,,1,2,3,,,P+9E,beton,107,87,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
145000,"Bucuresti, zona Mihai Bravu   160 m (2 minute)",2018,decomandat,lux,Etaj 2,,1,2,4,,,P+9E,beton,119,98,,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
155000,"Bucuresti, Sector 3, zona Mihai Bravu",2017,semidecomandat,1,Etaj 4,2,1,2,3,,,P+5E,beton,95,82,82,bloc de apartamente,"Mihai Bravu, Bucuresti, Romania",44.440324,26.133029
